
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-09 00:41:19 /api/client/login ........................................................................ ~ 1s
  2026-03-09 00:41:21 /api/client/me ....................................................................... ~ 3.33ms
  2026-03-09 00:42:04 / ........................................................................................ ~ 1s
  2026-03-09 00:42:06 /favicon.ico ......................................................................... ~ 1.64ms
  2026-03-09 00:47:56 /api/client/login .................................................................. ~ 519.35ms
  2026-03-09 00:47:56 /api/client/login .................................................................. ~ 509.57ms
  2026-03-09 00:47:57 /api/client/photos ................................................................. ~ 503.83ms
  2026-03-09 00:47:57 /api/client/photos ................................................................... ~ 0.37ms
  2026-03-09 00:47:57 /api/client/photos ................................................................. ~ 514.30ms
  2026-03-09 00:47:58 /api/client/photos ................................................................... ~ 0.81ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  PHP Parse error:  syntax error, unexpected token "\" in C:\xampp\htdocs\AD PHOTOGRAPHY\backend-api\bootstrap\app.php on line 16
  2026-03-09 00:53:12 /api/client/photos ................................................................... ~ 7.71ms
  PHP Parse error:  syntax error, unexpected token "\" in C:\xampp\htdocs\AD PHOTOGRAPHY\backend-api\bootstrap\app.php on line 16
  2026-03-09 00:53:12 /api/client/photos .................................................................. ~ 15.25ms
  PHP Parse error:  syntax error, unexpected token "\" in C:\xampp\htdocs\AD PHOTOGRAPHY\backend-api\bootstrap\app.php on line 16
  2026-03-09 00:54:36 /api/bookings ...................................................................... ~ 514.25ms
  PHP Parse error:  syntax error, unexpected token "\" in C:\xampp\htdocs\AD PHOTOGRAPHY\backend-api\bootstrap\app.php on line 16
  2026-03-09 00:54:37 /api/admin/bookings .................................................................. ~ 2.05ms
  PHP Parse error:  syntax error, unexpected token "\" in C:\xampp\htdocs\AD PHOTOGRAPHY\backend-api\bootstrap\app.php on line 16
  2026-03-09 00:54:37 /api/admin/bookings//status .......................................................... ~ 0.69ms
  2026-03-09 00:58:25 /api/bookings ............................................................................ ~ 2s
  2026-03-09 00:58:28 /api/admin/bookings ................................................................ ~ 515.41ms
  2026-03-09 00:58:28 /api/admin/bookings/1/status ......................................................... ~ 0.45ms
  2026-03-09 01:00:56 /api/client/photos ................................................................. ~ 516.03ms
  2026-03-09 01:00:56 /api/client/photos ................................................................. ~ 502.39ms
  2026-03-09 01:00:56 /api/client/photos ................................................................. ~ 510.47ms
  2026-03-09 01:00:57 /api/client/photos ................................................................. ~ 504.26ms
  2026-03-09 01:02:07 /api/client/photos ................................................................. ~ 513.31ms
  2026-03-09 01:02:07 /api/client/photos ................................................................. ~ 513.71ms
  2026-03-09 01:02:07 /api/client/photos ................................................................. ~ 519.45ms
  2026-03-09 01:02:08 /api/client/photos ................................................................. ~ 503.95ms
  2026-03-09 01:02:13 /api/client/photos ................................................................... ~ 0.91ms
  2026-03-09 01:02:13 /api/client/photos ................................................................. ~ 506.30ms
